GeneSymbol,correlation,pvalue
ASB13,0.923072156698609,2.54228570357025e-05
ASB14,0.108462465459785,0.375456020807077
ASB2,0.777797398601547,0.00241296168383981
ASB5,0.0276429102840748,0.467849428375127
ASB6,0.245449597131857,0.233465817944651
ASB9,0.278896662608669,0.203126140208983
ASCL2,-0.264651709498709,0.784197263674675
ASGR1,-0.209928676636457,0.732222994970353
ASGR2,-0.446670065536776,0.915784609095559
ASH1L,-0.25954277116783,0.779561275675005
ASH2L,-0.281444056915195,0.799101417377893
ASL,0.472136803507711,0.0712832397365043
ASNS,0.558510569828884,0.0370648259221135
ASPDH,0.228875451977808,0.249220259925821
ASPHD1,0.0667695128923063,0.42267621668245
ASPHD2,0.56901623690955,0.0338580476810123
ASPM,-0.353056689961371,0.856568349536546
ASPRV1,-0.223504499796091,0.745577230112425
ASPSCR1,0.569954366653983,0.0335811218190208
ASTN1,0.315965377767835,0.171929510630512
ATAD1,0.401032027241512,0.110782677143228
ATAD2,0.601009281011698,0.0252560492815291
ATAD5,0.529647782015123,0.0469038493442915
ATF4,-0.183410024275639,0.705338043829775
ATF7IP2,0.254012719762609,0.225509083121525
ATG16L1,0.527078872387635,0.0478548078741846
ATG4A,0.56641671969611,0.0346334251999141
ATG4D,0.753106049931039,0.00372962995678311
ATG5,0.214679667679041,0.263070814732892
ATG7,0.336072474676574,0.156134890671566
ATHL1,-0.275866276130305,0.794208270051447
ATL1,-0.235282928664862,0.756924683118508
ATOH7,0.806575657637833,0.00135165379516961
ATOX1,0.236280806931481,0.242124435005332
ATP10A,0.53237437502675,0.0459081990106052
ATP12A,-0.031018499670062,0.536068279020941
ATP13A3,0.30678776809744,0.179406011936068
ATP1A1,0.704165728763296,0.00778522625644619
ATP1A3,0.471547559862919,0.0715673417673894
ATP1A4,-0.260688944430993,0.780605399243585
ATP1B1,0.431721468511307,0.0924351363853528
ATP1B3,0.744206182560165,0.00431294457187222
ATP2A1,0.148292427330259,0.331728510003775
ATP2A2,0.838897069954269,0.000623796715887301
ATP2B1,0.509151444175318,0.0548439589274393
ATP2B2,0.911169536013594,4.77243222324557e-05
ATP2B3,0.885747929871669,0.000142616713782197
ATP2B4,0.954625419685658,2.47505089875437e-06
ATP2C2,0.45174393909492,0.0815315999115649
ATP4A,0.715704196480158,0.00663060025236192
ATP5A1,0.518173076486635,0.0512491764984529
ATP5E,-0.0154352702361528,0.51796327755116
ATP5I,0.242932521662927,0.235828659286909
ATP6V0A2,0.00631247054689425,0.492651964804537
ATP6V0A4,-0.155434801119189,0.675933847941541
ATP6V0E1,0.545174978371724,0.0414201079291661
ATP6V0E2,0.56444921432117,0.0352281668269081
ATP6V1C1,0.512466024540995,0.0535048044398936
ATP6V1C2,0.622240241844533,0.0204592986989311
ATP6V1H,0.347863694669242,0.147252986864535
ATP7A,-0.509212351159088,0.945180842501497
ATP8A2,-0.197168515792888,0.71941410396671
ATP8B1,0.342746801576876,0.151072483353774
ATP8B2,0.760732235787836,0.00327761089712372
ATP8B4,0.525987668101648,0.0482625479507225
ATPIF1,0.125104485796936,0.356993475614197
ATR,0.356756965885329,0.140742672916059
ATRNL1,0.395199555610248,0.114494102277737
ATXN10,-0.0260733694244052,0.530328071851169
ATXN2,0.506898312140137,0.055766551819859
ATXN2L,0.0287408063188771,0.466574914566036
ATXN7L2,0.278053705431204,0.203865915842005
AURKA,-0.000754723402865836,0.500878576496712
AUTS2,0.757025742892605,0.00349196289577092
AVPI1,0.761499730523766,0.00323446085910686
AVPR1A,-0.0449527701326613,0.552206549407255
AXIN1,-0.0289662178699943,0.533686724278707
AXIN2,0.289002777143991,0.194360397025707
AXL,0.716270190394438,0.00657735436744249
AZGP1,0.397695674952478,0.112896951191417
AZIN1,0.378425966217102,0.125566745378519
B2M,0.290823614391045,0.192801509865074
B3GALNT1,0.719578235741968,0.00627230495622213
B3GALNT2,-0.282550368420146,0.800065059165806
B3GALT2,0.478758326686053,0.0681394921763108
B3GALT4,0.277489582558491,0.204361723205229
B3GALT6,0.372580477083453,0.129564198289529
B3GALTL,0.816166362343208,0.00109116301669379
B3GAT1,0.227508818620462,0.250539604330939
B3GAT2,0.327855418971656,0.162491535158459
B3GNT1,0.453670063839041,0.0805268236624942
B3GNT4,0.430165433035348,0.0933176760636933
B3GNT5,0.534703008706028,0.0450689700727629
B3GNT6,0.129727988027956,0.351910938683755
B3GNT7,0.162393586568831,0.316659182280927
B3GNTL1,-0.285061500684487,0.802243854777385
B4GALNT1,0.379136840832066,0.125085491131831
B4GALT2,0.85934595116059,0.000349327659005143
B4GALT3,-0.2810265861497,0.798737189812007
B4GALT5,0.142677284240012,0.337793514771932
B4GALT6,0.506050843200373,0.0561161471376447
B9D1,-0.0972328025071898,0.611949520048399
BAALC,0.283576526686351,0.199043161683915
BACE2,0.804462880242198,0.00141475454688265
BACH1,-0.46126883106211,0.923362024565255
BACH2,0.573170273767567,0.0326434178474811
BAG2,-0.708277651557235,0.992641596082055
BAG3,0.264068550959549,0.216329547335323
BAI2,0.638217863759015,0.0172951112969171
BAI3,0.523463277088557,0.0492145247428458
BAIAP2,0.00718474648831299,0.491636706335359
BAIAP2L2,-0.16027486043571,0.681091877663157
BAIAP3,0.964371723673241,8.45585664095452e-07
BAK1,0.747352426249055,0.00409964001200205
BANK1,0.143975988685592,0.336387623507174
BARD1,0.117846969772456,0.365013515778927
BATF,-0.140900478085783,0.660280018341529
BATF3,0.481669125314158,0.0667857772153274
BBOX1,0.299679231640185,0.185310088864758
BBS7,0.56808733300249,0.0341337620809893
BCAN,0.548675985469713,0.0402454155178562
BCAP31,0.0928614202500826,0.392980108742897
BCAR3,0.393530772126378,0.115569199683639
BCAS4,0.00448055984822729,0.494784281262833
BCAT1,0.807846254236209,0.00131472851112882
BCHE,0.210767342474247,0.266943723193175
BCKDHB,0.240438954400558,0.238180055271589
BCKDK,0.629349311177959,0.0190057063150419
BCL11A,0.628421084570168,0.0191912909912262
BCL11B,0.759187964168492,0.00336571006828573
BCL2,0.165435492626537,0.313440056190894
BCL2A1,0.622492752938148,0.0204063883354164
BCL2L10,0.014315156206247,0.483339642457229
BCL2L11,-0.196271312384156,0.718504418623189
BCL2L2,0.457475795740924,0.0785641918019414
BCL3,0.666609539267691,0.0125439622677647
BCL6,0.633081705762677,0.018272070790164
BCL7C,0.788300232066696,0.001972521426224
BCLAF1,-0.349758763072457,0.854147954794186
BCO2,0.695810253785263,0.00870689500791069
BCOR,0.401108845095618,0.110734273367083
BCR,0.633751456509212,0.018142546952997
BDH2,-0.24149831126237,0.762820189015769
BDKRB1,-0.305713341482174,0.819707912599014
BDKRB2,-0.056237979835555,0.565225908842594
BDNF,0.46492473906484,0.0748095392401382
BEGAIN,0.640811699448493,0.0168158770414091
BEND4,0.463080638282121,0.0757283849843454
BEND5,0.593971940930174,0.027002547195255
BEND6,0.890092511571773,0.000120565761589498
BEND7,0.711768781364094,0.00700946526104109
BEX1,0.240104087797131,0.238496630553796
BEX2,-0.278501339296373,0.796527089826323
BFSP1,0.176745021855121,0.301575157104744
BHLHE22,0.837709611266153,0.000643590592015615
BHLHE40,0.762787571339811,0.00316299421116582
BHLHE41,0.604395744774927,0.0244439048191004
BHMT,0.393420749347078,0.115640286848774
BHMT2,-0.201722063667244,0.72401285504212
BICD1,0.0102218267061847,0.48810217362524
BID,0.491481692834479,0.0623486063716053
BIN1,0.132115947461157,0.349294333060756
BIN2,-0.327884940702368,0.837531546372108
BIRC3,0.514309286914268,0.0527693661224416
BIVM,0.361515927777068,0.137325998175482
BLCAP,0.133279758402549,0.348021210907419
BLM,-0.0372004437925331,0.543235367914884
BLMH,0.487915173847664,0.063938896034083
BLNK,0.111016164534285,0.372606678864564
BLVRA,0.49407480073964,0.0612083843856624
BLVRB,0.165763915607909,0.31309319225117
BMP3,0.757280504196789,0.00347690989500434
BMP4,0.864878870221967,0.000294055229215504
BMP5,0.693085712516185,0.00902362484036704
BMP8A,0.776977498257264,0.00245015078632646
BMP8B,0.249095448703549,0.230062623503763
BMPER,0.294714386445422,0.189491612786671
BMPR1B,0.513564103801421,0.053065888218441
BMS1P5,-0.130328904365212,0.648748062995353
BNIP2,-0.166937058566979,0.688144711424926
BPHL,0.598894136408211,0.0257725860610168
BRCA1,-0.327616758911548,0.837321804418011
BRD1,0.529814940262667,0.046842404701425
BRD2,0.549750367743397,0.0398894241126665
BRE,0.419249195125882,0.0996522537327663
BRMS1L,0.707738846835167,0.00741334986379169
BRP44,0.633835874039317,0.0181262669151975
